Designator,Val,Mid X,Mid Y,Rotation,Layer
C1,47u,73.215500,-129.667000,90.000000,top
C2,330u,59.753500,-128.651000,180.000000,top
C3,100n,81.851500,-128.143000,90.000000,top
C4,100n,78.930500,-128.143000,90.000000,top
C5,1u,78.930500,-124.333000,90.000000,top
C6,10n,105.956000,-139.827000,0.000000,top
C7,100n,84.874000,-125.095000,0.000000,top
C8,100n,105.956000,-141.986000,0.000000,top
C9,1u,81.851500,-124.333000,270.000000,top
C10,1u,105.956000,-137.541000,0.000000,top
C11,47u,82.613500,-115.951000,90.000000,top
C12,100u,91.249500,-126.619000,90.000000,top
C13,1m,102.171500,-124.587000,90.000000,top
C14,10n,101.663500,-27.813000,0.000000,top
C15,100n,101.663500,-29.337000,0.000000,top
C16,1u,101.638000,-30.861000,0.000000,top
C17,10n,117.411500,-71.374000,270.000000,top
C18,10n,124.015500,-71.374000,270.000000,top
C19,100n,115.887500,-71.374000,270.000000,top
C20,100n,122.491500,-71.374000,270.000000,top
C21,10n,166.433500,-89.027000,0.000000,top
C22,100n,166.433500,-87.503000,0.000000,top
C23,1u,166.433500,-85.979000,0.000000,top
C24,100n,107.759500,-113.893500,90.000000,top
C25,10n,118.808500,-109.093000,0.000000,top
C26,100n,118.808500,-110.617000,0.000000,top
C27,1u,118.808500,-112.141000,0.000000,top
C28,10n,115.735000,-112.141000,180.000000,top
C29,100n,115.735000,-110.617000,180.000000,top
C30,1u,115.735000,-109.093000,180.000000,top
C31,10p,108.623000,-92.964000,0.000000,top
C32,10p,108.623000,-104.165500,180.000000,top
C33,100n,124.142500,-110.591500,270.000000,top
C34,100n,137.477500,-108.712000,270.000000,top
C35,100n,137.477500,-90.398500,90.000000,top
C36,100n,119.900700,-89.649300,180.000000,top
C37,100n,118.300500,-96.901000,90.000000,top
C38,100n,98.107500,-40.259000,90.000000,top
C39,100n,98.107500,-46.863000,270.000000,top
C40,100n,98.107500,-52.324000,90.000000,top
C41,100n,98.107500,-58.928000,270.000000,top
C42,100n,98.107500,-64.516000,90.000000,top
C43,100n,98.107500,-71.120000,270.000000,top
C44,100n,98.107500,-76.962000,90.000000,top
C45,100n,98.107500,-83.566000,270.000000,top
C46,100n,98.107500,-89.281000,90.000000,top
C47,100n,98.107500,-95.885000,270.000000,top
C48,100n,76.771500,-40.513000,180.000000,top
C49,100n,98.107500,-101.600000,90.000000,top
C50,100n,98.107500,-108.077000,270.000000,top
C51,100n,76.771500,-27.813000,180.000000,top
C52,100n,76.771500,-29.845000,180.000000,top
C53,100n,83.274000,-135.763000,0.000000,top
C54,100n,58.394500,-89.154000,0.000000,top
C55,100n,60.706000,-113.055500,90.000000,top
C56,100n,76.746000,-61.595000,0.000000,top
C57,100n,76.809500,-67.183000,0.000000,top
C58,100n,76.746000,-73.025000,0.000000,top
C59,100n,76.746000,-78.105000,0.000000,top
C60,100n,76.746000,-83.693000,0.000000,top
C61,100n,76.746000,-89.535000,0.000000,top
C62,100n,76.746000,-51.181000,0.000000,top
C63,100n,76.733500,-56.515000,0.000000,top
C64,100n,80.772000,-108.559600,0.000000,top
C65,100n,103.225600,-113.385600,0.000000,top
D1,Transil,62.293500,-141.351000,90.000000,top
D2,D,71.183500,-141.097000,180.000000,top
D3,D_Zener,56.578500,-120.396000,270.000000,top
D4,SSB43L-E3/52T,92.519500,-139.954000,270.000000,top
D5,LED,159.639000,-101.741000,90.000000,top
D6,D,33.083500,-126.555500,90.000000,top
D7,D_Zener,61.658500,-120.396000,270.000000,top
D8,LED,92.011500,-116.854000,270.000000,top
D9,LED,88.963500,-116.854000,270.000000,top
D10,LED,95.059500,-116.854000,270.000000,top
D11,LED,126.809500,-75.170000,90.000000,top
D12,D,54.673500,-58.833000,90.000000,top
D13,D,54.673500,-36.957000,270.000000,top
D14,D,54.673500,-66.389000,270.000000,top
D15,D,54.673500,-29.337000,90.000000,top
D16,D,54.673500,-81.121000,270.000000,top
D17,D,34.099500,-36.703000,270.000000,top
D18,D,54.673500,-73.533000,90.000000,top
D19,D,34.099500,-29.083000,90.000000,top
D20,D,54.673500,-51.689000,270.000000,top
D21,D,54.673500,-44.069000,90.000000,top
D22,D,34.099500,-66.167000,270.000000,top
D23,D_Zener,55.816500,-92.075000,270.000000,top
D24,D_Zener,55.816500,-110.363000,90.000000,top
D25,D,34.099500,-58.547000,90.000000,top
D26,D_Zener,79.311500,-63.393000,90.000000,top
D27,D_Zener,79.311500,-68.981000,90.000000,top
D28,D_Zener,79.311500,-74.803000,90.000000,top
D29,D,34.099500,-80.899000,270.000000,top
D30,D,34.099500,-73.279000,90.000000,top
D31,D,34.099500,-51.435000,270.000000,top
D32,D_Zener,79.311500,-79.883000,90.000000,top
D33,D_Zener,79.311500,-85.491000,90.000000,top
D34,D_Zener,79.311500,-91.333000,90.000000,top
D35,D,34.099500,-43.815000,90.000000,top
D36,LED,129.984500,-140.575000,90.000000,top
D37,LED,131.508500,-140.603000,90.000000,top
D38,LED,133.032500,-140.603000,90.000000,top
D39,LED,134.556500,-140.603000,90.000000,top
D40,LED,136.080500,-140.603000,90.000000,top
D41,LED,137.604500,-140.603000,90.000000,top
D42,LED,139.128500,-140.575000,90.000000,top
D43,LED,140.652500,-140.575000,90.000000,top
D44,D_Zener_3V3,101.409500,-40.767000,270.000000,top
D45,D_Zener_3V3,101.409500,-46.355000,90.000000,top
D46,D_Zener_3V3,101.409500,-52.832000,270.000000,top
D47,D_Zener_3V3,101.409500,-58.420000,90.000000,top
D48,D_Zener_3V3,101.409500,-65.044000,270.000000,top
D49,D_Zener_3V3,101.409500,-70.612000,90.000000,top
D50,D_Zener_3V3,101.409500,-77.470000,270.000000,top
D51,D_Zener_3V3,101.409500,-83.058000,90.000000,top
D52,D_Zener_3V3,101.409500,-89.789000,270.000000,top
D53,D_Zener_3V3,101.409500,-95.377000,90.000000,top
D54,D_Zener_3V3,101.409500,-102.108000,270.000000,top
D55,D_Zener_3V3,101.409500,-107.569000,90.000000,top
D56,D_Zener,79.311500,-52.979000,90.000000,top
D57,D_Zener,79.311500,-58.313000,90.000000,top
J7,MicroSD,92.138500,-26.416000,0.000000,top
J12,USB_B_Mini,165.798500,-96.901000,90.000000,top
L1,SRN6045TA-6R8M,100.139500,-139.954000,90.000000,top
Q1,Q_NPN_BCE,119.205500,-129.159000,0.000000,top
Q2,IRLML2060,58.721500,-57.277000,180.000000,top
Q3,IRLML2060,58.737500,-35.433000,180.000000,top
Q4,IRLML2060,58.737500,-64.897000,180.000000,top
Q5,IRLML2060,58.737500,-27.813000,180.000000,top
Q6,IRLML2060,58.737500,-79.629000,180.000000,top
Q7,IRLML2060,38.163500,-35.179000,180.000000,top
Q8,IRLML2060,58.991500,-72.009000,180.000000,top
Q9,IRLML2060,38.163500,-27.559000,180.000000,top
Q10,IRLML2060,58.737500,-50.165000,180.000000,top
Q11,IRLML2060,58.737500,-42.545000,180.000000,top
Q12,IRLML2060,38.163500,-64.643000,180.000000,top
Q13,IRLML2060,38.163500,-57.023000,180.000000,top
Q14,IRLML2060,38.163500,-79.375000,180.000000,top
Q15,IRLML2060,38.163500,-71.755000,180.000000,top
Q16,IRLML2060,38.163500,-49.911000,180.000000,top
Q17,IRLML2060,38.163500,-42.291000,180.000000,top
Q18,IRLML2060,36.766500,-128.333500,270.000000,top
R1,"4,7k",54.673500,-120.396000,90.000000,top
R2,10k,99.377500,-112.649000,270.000000,top
R3,1k,54.673500,-117.068500,90.000000,top
R4,10k,100.901500,-112.649000,90.000000,top
R5,"1,6k",63.563500,-120.243500,90.000000,top
R6,"1,6k",63.563500,-117.043500,270.000000,top
R7,0,76.746000,-54.189000,180.000000,top
R8,0,76.746000,-59.563000,0.000000,top
R9,"1,6k",84.645500,-129.641500,270.000000,top
R10,"1,6k",86.169500,-129.641500,90.000000,top
R11,560,84.874000,-123.571000,0.000000,top
R12,200,95.059500,-121.005500,90.000000,top
R13,47k,87.033000,-35.179000,180.000000,top
R14,47k,87.033000,-36.957000,180.000000,top
R15,47k,106.896000,-33.401000,0.000000,top
R16,47k,106.896000,-35.179000,0.000000,top
R17,47k,106.896000,-36.957000,0.000000,top
R18,NULL,114.998500,-58.166000,90.000000,top
R19,NULL,121.094500,-58.166000,90.000000,top
R20,NULL,116.522500,-58.166000,90.000000,top
R21,NULL,113.474500,-58.166000,270.000000,top
R22,NULL,122.618500,-58.166000,90.000000,top
R23,NULL,119.570500,-58.166000,270.000000,top
R24,NULL,114.363500,-71.348500,270.000000,top
R25,NULL,120.967500,-71.374000,270.000000,top
R26,1k,118.427500,-124.206000,90.000000,top
R27,200,126.809500,-70.967500,270.000000,top
R28,1k,110.807500,-113.893500,90.000000,top
R29,10k,109.283500,-113.893500,270.000000,top
R30,10k,61.277500,-57.277000,90.000000,top
R31,10k,61.277500,-35.433000,90.000000,top
R32,100,59.499500,-60.858500,270.000000,top
R33,100,59.499500,-38.989000,270.000000,top
R34,0,57.975500,-60.858500,90.000000,top
R35,0,57.975500,-38.989000,270.000000,top
R36,0,57.975500,-68.478500,270.000000,top
R37,0,57.975500,-31.369000,270.000000,top
R38,100,59.499500,-68.478500,270.000000,top
R39,100,59.499500,-31.369000,270.000000,top
R40,0,59.245500,-91.541500,270.000000,top
R41,1k,65.849500,-100.457000,0.000000,top
R42,0,59.245500,-109.855000,90.000000,top
R43,1k,65.849500,-102.235000,0.000000,top
R44,10k,61.277500,-64.897000,270.000000,top
R45,10k,61.277500,-27.838500,270.000000,top
R46,10k,61.277500,-79.629000,90.000000,top
R47,10k,40.703500,-35.179000,90.000000,top
R48,3k,65.849500,-98.933000,0.000000,top
R49,3k,65.849500,-103.759000,0.000000,top
R50,100,59.499500,-83.159500,270.000000,top
R51,100,38.925500,-38.760500,270.000000,top
R52,0,57.975500,-83.185000,90.000000,top
R53,0,37.401500,-38.735000,270.000000,top
R54,0,58.229500,-75.565000,270.000000,top
R55,0,37.401500,-31.115000,270.000000,top
R56,100,59.753500,-75.590500,270.000000,top
R57,100,38.925500,-31.140500,270.000000,top
R58,10k,40.703500,-27.559000,270.000000,top
R59,10k,61.531500,-72.009000,270.000000,top
R60,10k,61.277500,-50.165000,90.000000,top
R61,100,59.499500,-53.746500,270.000000,top
R62,0,57.975500,-53.746500,90.000000,top
R63,0,57.975500,-46.101000,270.000000,top
R64,100,59.499500,-46.101000,270.000000,top
R65,10k,61.277500,-42.545000,270.000000,top
R66,10k,40.703500,-64.643000,90.000000,top
R67,0,61.658500,-90.805000,180.000000,top
R68,0,61.658500,-92.329000,0.000000,top
R69,0,61.658500,-109.093000,180.000000,top
R70,0,61.658500,-110.617000,180.000000,top
R71,100,38.925500,-68.224500,270.000000,top
R72,0,37.401500,-68.199000,90.000000,top
R73,0,57.594500,-91.567000,90.000000,top
R74,0,57.594500,-109.855000,90.000000,top
R75,0,37.401500,-60.579000,270.000000,top
R76,0,76.746000,-64.643000,180.000000,top
R77,0,76.797000,-70.231000,0.000000,top
R78,0,76.771500,-76.073000,180.000000,top
R79,100,38.925500,-60.579000,270.000000,top
R80,10k,40.703500,-56.997500,270.000000,top
R81,0,76.746000,-63.119000,0.000000,top
R82,0,76.771500,-68.707000,180.000000,top
R83,0,76.746000,-74.549000,0.000000,top
R84,10k,40.703500,-79.375000,90.000000,top
R85,100,38.925500,-82.931000,270.000000,top
R86,0,37.401500,-82.956500,90.000000,top
R87,0,37.401500,-75.311000,270.000000,top
R88,100,38.925500,-75.311000,270.000000,top
R89,10k,40.703500,-71.755000,270.000000,top
R90,10k,40.703500,-49.911000,90.000000,top
R91,100,38.925500,-53.467000,270.000000,top
R92,0,76.746000,-81.153000,180.000000,top
R93,0,76.746000,-86.741000,0.000000,top
R94,0,76.771500,-92.583000,180.000000,top
R95,0,37.401500,-53.467000,90.000000,top
R96,0,37.401500,-45.847000,270.000000,top
R97,0,76.771500,-79.629000,0.000000,top
R98,0,76.771500,-85.217000,180.000000,top
R99,0,76.771500,-91.059000,0.000000,top
R100,100,38.925500,-45.847000,270.000000,top
R101,10k,40.703500,-42.291000,270.000000,top
R102,56/NULL,117.259000,-113.665000,0.000000,top
R103,300,129.984500,-137.287000,270.000000,top
R104,300,131.508500,-137.261500,270.000000,top
R105,300,133.032500,-137.261500,270.000000,top
R106,300,134.556500,-137.261500,270.000000,top
R107,300,136.080500,-137.261500,270.000000,top
R108,300,137.604500,-137.287000,270.000000,top
R109,300,139.128500,-137.287000,270.000000,top
R110,300,140.652500,-137.261500,270.000000,top
R111,10k,116.674900,-86.207500,90.000000,top
R112,NULL,118.198900,-86.233000,90.000000,top
R113,10k,107.658000,-95.504000,180.000000,top
R114,10k,116.878000,-79.502000,0.000000,top
R115,10k,122.009000,-79.502000,0.000000,top
R116,10k,133.820000,-114.935000,180.000000,top
R117,10k,129.705000,-114.935000,180.000000,top
R118,1k,95.059500,-40.259000,270.000000,top
R119,1k,95.059500,-46.888500,90.000000,top
R120,1k,95.059500,-52.324000,270.000000,top
R121,1k,95.059500,-58.928000,90.000000,top
R122,10k,96.583500,-40.259000,270.000000,top
R123,10k,96.583500,-46.863000,90.000000,top
R124,10k,96.583500,-52.324000,270.000000,top
R125,10k,96.583500,-58.928000,90.000000,top
R126,10k,99.631500,-40.259000,90.000000,top
R127,10k,99.631500,-46.837500,270.000000,top
R128,10k,99.631500,-52.324000,90.000000,top
R129,10k,99.631500,-58.928000,270.000000,top
R130,1k,95.059500,-64.516000,270.000000,top
R131,1k,95.059500,-71.120000,90.000000,top
R132,1k,95.059500,-76.962000,270.000000,top
R133,1k,95.059500,-83.566000,90.000000,top
R134,10k,96.583500,-64.516000,270.000000,top
R135,10k,96.583500,-71.120000,90.000000,top
R136,10k,96.583500,-76.962000,270.000000,top
R137,10k,96.583500,-83.566000,90.000000,top
R138,10k,99.631500,-64.516000,90.000000,top
R139,10k,99.631500,-71.120000,270.000000,top
R140,10k,99.631500,-76.962000,90.000000,top
R141,10k,99.631500,-83.566000,270.000000,top
R142,1k,95.059500,-89.281000,270.000000,top
R143,1k,95.059500,-95.885000,90.000000,top
R144,10k,96.583500,-89.281000,270.000000,top
R145,10k,96.583500,-95.885000,90.000000,top
R146,10k,99.631500,-89.281000,90.000000,top
R147,10k,99.631500,-95.885000,270.000000,top
R148,1k,76.771500,-37.465000,180.000000,top
R149,10k,76.771500,-38.989000,0.000000,top
R150,1k,95.059500,-101.600000,270.000000,top
R151,1k,95.059500,-108.077000,90.000000,top
R152,10k,96.583500,-101.600000,270.000000,top
R153,10k,96.583500,-108.077000,90.000000,top
R154,10k,99.631500,-101.600000,90.000000,top
R155,10k,99.631500,-108.077000,270.000000,top
R156,1k,76.771500,-24.765000,180.000000,top
R157,1k,76.771500,-32.893000,180.000000,top
R158,10k,76.771500,-26.289000,0.000000,top
R159,10k,76.746000,-31.369000,0.000000,top
R160,0,76.771500,-52.705000,0.000000,top
R161,0,76.746000,-58.039000,180.000000,top
R162,10k,101.816000,-22.479000,180.000000,top
R163,20,147.637500,-117.602000,180.000000,top
R164,20,147.637500,-114.554000,180.000000,top
R165,20,147.637500,-119.126000,180.000000,top
R166,20,147.637500,-116.078000,180.000000,top
R167,20,147.663000,-113.030000,180.000000,top
R168,20,147.663000,-111.506000,0.000000,top
R169,330,159.677000,-98.869500,180.000000,top
R170,10k,36.728500,-125.666500,180.000000,top
R171,100,41.999000,-129.603500,180.000000,top
TH1,NTC_100k,76.009500,-111.379000,270.000000,top
TH2,NTC_100k,87.462500,-136.398000,0.000000,top
U1,ADP2302ARDZ-3.3,84.961500,-139.954000,0.000000,top
U2,AZ1117-5.0,70.929500,-118.872000,0.000000,top
U3,EEPROM,114.109500,-64.770000,270.000000,top
U4,EEPROM,120.713500,-64.770000,270.000000,top
U7,STM32F103VETx,129.113500,-99.111000,0.000000,top
Y1,8-16MHz,113.728500,-98.514000,270.000000,top
